kind,source,target,source_subsystem,target_subsystem
include,core/streaming_vram_regulator.cpp,core/streaming_vram_regulator.h,core,core
include,core/streaming_vram_regulator.cpp,logger/gs_logger.h,core,logger
include,core/streaming_vram_regulator.cpp,renderer/gpu_debug_utils.h,core,renderer
include,editor/gaussian_asset_preview_control.cpp,editor/gaussian_asset_preview_control.h,editor,editor
include,editor/gaussian_asset_preview_control.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_asset_preview_control.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_editor_integration.cpp,editor/gaussian_editor_integration.h,editor,editor
include,editor/gaussian_editor_integration.cpp,editor/gaussian_editor_plugin.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,core/gaussian_data.h,editor,core
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_editor_plugin.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_editor_services.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_resource_preview_generator.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_editor_plugin.cpp,logger/gs_logger.h,editor,logger
include,editor/gaussian_editor_plugin.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_editor_plugin.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_editor_plugin.h,editor/gaussian_editor_integration.h,editor,editor
include,editor/gaussian_editor_plugin.h,editor/gaussian_import_dialog.h,editor,editor
include,editor/gaussian_editor_plugin.h,editor/gaussian_inspector_plugins.h,editor,editor
include,editor/gaussian_editor_plugin.h,editor/gaussian_splat_gizmo_plugin.h,editor,editor
include,editor/gaussian_editor_plugin.h,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_editor_plugin.h,renderer/gaussian_splat_renderer.h,editor,renderer
include,editor/gaussian_editor_services.cpp,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_editor_services.cpp,editor/gaussian_editor_services.h,editor,editor
include,editor/gaussian_editor_services.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_editor_services.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_editor_services.cpp,renderer/gaussian_splat_renderer.h,editor,renderer
include,editor/gaussian_import_dialog.cpp,core/gaussian_data.h,editor,core
include,editor/gaussian_import_dialog.cpp,editor/gaussian_import_dialog.h,editor,editor
include,editor/gaussian_import_dialog.cpp,io/ply_loader.h,editor,io
include,editor/gaussian_import_dialog.cpp,io/spz_loader.h,editor,io
include,editor/gaussian_import_dialog.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_import_dialog.h,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_import_dialog.h,io/gaussian_import_preset.h,editor,io
include,editor/gaussian_inspector_plugins.cpp,core/gaussian_data.h,editor,core
include,editor/gaussian_inspector_plugins.cpp,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_asset_preview_control.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_editor_plugin.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_editor_services.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,editor/gaussian_inspector_plugins.h,editor,editor
include,editor/gaussian_inspector_plugins.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_inspector_plugins.cpp,renderer/gaussian_splat_renderer.h,editor,renderer
include,editor/gaussian_inspector_plugins.cpp,resources/color_grading_resource.h,editor,resources
include,editor/gaussian_inspector_plugins.h,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_resource_preview_generator.cpp,core/gaussian_splat_asset.h,editor,core
include,editor/gaussian_resource_preview_generator.cpp,editor/gaussian_resource_preview_generator.h,editor,editor
include,editor/gaussian_resource_preview_generator.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_splat_gizmo_plugin.cpp,editor/gaussian_splat_gizmo_plugin.h,editor,editor
include,editor/gaussian_splat_gizmo_plugin.cpp,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_splat_gizmo_plugin.h,nodes/gaussian_splat_node_3d.h,editor,nodes
include,editor/gaussian_thumbnail_generator.cpp,editor/gaussian_thumbnail_generator.h,editor,editor
include,editor/gaussian_thumbnail_generator.h,core/gaussian_splat_asset.h,editor,core
include,interfaces/cluster_culler.cpp,compute/compute_infrastructure.h,interfaces,compute
include,interfaces/cluster_culler.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/cluster_culler.cpp,interfaces/cluster_culler.h,interfaces,interfaces
include,interfaces/cluster_culler.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/cluster_culler.cpp,renderer/pipeline_io_contracts.h,interfaces,renderer
include,interfaces/cluster_culler.h,interfaces/culler_interfaces.h,interfaces,interfaces
include,interfaces/cluster_culler.h,lod/cluster_builder.h,interfaces,lod
include,interfaces/debug_overlay_system.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/debug_overlay_system.cpp,interfaces/debug_overlay_macros.h,interfaces,interfaces
include,interfaces/debug_overlay_system.cpp,interfaces/debug_overlay_system.h,interfaces,interfaces
include,interfaces/debug_overlay_system.cpp,interfaces/gpu_sorting_pipeline.h,interfaces,interfaces
include,interfaces/debug_overlay_system.cpp,renderer/gaussian_splat_renderer.h,interfaces,renderer
include,interfaces/debug_overlay_system.h,interfaces/debug_overlay_interfaces.h,interfaces,interfaces
include,interfaces/gpu_culler.cpp,core/gaussian_data.h,interfaces,core
include,interfaces/gpu_culler.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/gpu_culler.cpp,core/gs_project_settings.h,interfaces,core
include,interfaces/gpu_culler.cpp,interfaces/gpu_culler.h,interfaces,interfaces
include,interfaces/gpu_culler.cpp,interfaces/overflow_auto_tuner.h,interfaces,interfaces
include,interfaces/gpu_culler.cpp,logger/gs_debug_trace.h,interfaces,logger
include,interfaces/gpu_culler.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/gpu_culler.cpp,renderer/gaussian_gpu_layout.h,interfaces,renderer
include,interfaces/gpu_culler.cpp,renderer/gpu_debug_utils.h,interfaces,renderer
include,interfaces/gpu_culler.h,interfaces/cluster_culler.h,interfaces,interfaces
include,interfaces/gpu_culler.h,interfaces/culler_interfaces.h,interfaces,interfaces
include,interfaces/gpu_culler.h,lod/hierarchical_splat_structure.h,interfaces,lod
include,interfaces/gpu_culler.h,renderer/batched_async_readback.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.cpp,compute/compute_infrastructure.h,interfaces,compute
include,interfaces/gpu_sorting_pipeline.cpp,core/gaussian_data.h,interfaces,core
include,interfaces/gpu_sorting_pipeline.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/gpu_sorting_pipeline.cpp,core/gs_project_settings.h,interfaces,core
include,interfaces/gpu_sorting_pipeline.cpp,interfaces/gpu_culler.h,interfaces,interfaces
include,interfaces/gpu_sorting_pipeline.cpp,interfaces/gpu_sorting_pipeline.h,interfaces,interfaces
include,interfaces/gpu_sorting_pipeline.cpp,interfaces/sync_policy.h,interfaces,interfaces
include,interfaces/gpu_sorting_pipeline.cpp,logger/gs_debug_trace.h,interfaces,logger
include,interfaces/gpu_sorting_pipeline.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/gpu_sorting_pipeline.cpp,renderer/gaussian_gpu_layout.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.cpp,renderer/gaussian_splat_renderer.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.cpp,renderer/gpu_sorting_config.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.cpp,renderer/pipeline_io_contracts.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.cpp,renderer/quantization_config.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.cpp,renderer/sorting_contract.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.h,interfaces/gpu_sorting_pipeline_interfaces.h,interfaces,interfaces
include,interfaces/gpu_sorting_pipeline.h,interfaces/render_device_manager.h,interfaces,interfaces
include,interfaces/gpu_sorting_pipeline.h,renderer/gpu_sorter.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline.h,renderer/gpu_sorting_config.h,interfaces,renderer
include,interfaces/gpu_sorting_pipeline_interfaces.h,renderer/gpu_sorter.h,interfaces,renderer
include,interfaces/interactive_state_manager.cpp,interfaces/interactive_state_manager.h,interfaces,interfaces
include,interfaces/interactive_state_manager.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/interactive_state_manager.cpp,renderer/gaussian_splat_renderer.h,interfaces,renderer
include,interfaces/interactive_state_manager.h,interfaces/interactive_state_interfaces.h,interfaces,interfaces
include,interfaces/output_compositor.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/output_compositor.cpp,interfaces/output_compositor.h,interfaces,interfaces
include,interfaces/output_compositor.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/output_compositor.cpp,renderer/gaussian_splat_renderer.h,interfaces,renderer
include,interfaces/output_compositor.cpp,renderer/gpu_debug_utils.h,interfaces,renderer
include,interfaces/output_compositor.cpp,renderer/shader_compilation_helper.h,interfaces,renderer
include,interfaces/output_compositor.h,interfaces/output_compositor_interfaces.h,interfaces,interfaces
include,interfaces/output_compositor.h,interfaces/render_device_manager.h,interfaces,interfaces
include,interfaces/overflow_auto_tuner.cpp,core/gs_project_settings.h,interfaces,core
include,interfaces/overflow_auto_tuner.cpp,interfaces/overflow_auto_tuner.h,interfaces,interfaces
include,interfaces/overflow_auto_tuner.cpp,interfaces/rasterizer_interfaces.h,interfaces,interfaces
include,interfaces/overflow_auto_tuner.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/painterly_material_manager.cpp,interfaces/painterly_material_manager.h,interfaces,interfaces
include,interfaces/painterly_material_manager.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/painterly_material_manager.h,painterly/painterly_material.h,interfaces,painterly
include,interfaces/painterly_renderer.cpp,core/gs_project_settings.h,interfaces,core
include,interfaces/painterly_renderer.cpp,interfaces/gpu_sorting_pipeline.h,interfaces,interfaces
include,interfaces/painterly_renderer.cpp,interfaces/interactive_state_manager.h,interfaces,interfaces
include,interfaces/painterly_renderer.cpp,interfaces/overflow_auto_tuner.h,interfaces,interfaces
include,interfaces/painterly_renderer.cpp,interfaces/painterly_material_manager.h,interfaces,interfaces
include,interfaces/painterly_renderer.cpp,interfaces/painterly_renderer.h,interfaces,interfaces
include,interfaces/painterly_renderer.cpp,interfaces/rasterizer_interfaces.h,interfaces,interfaces
include,interfaces/painterly_renderer.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/painterly_renderer.cpp,painterly/painterly_material.h,interfaces,painterly
include,interfaces/painterly_renderer.cpp,renderer/gaussian_splat_renderer.h,interfaces,renderer
include,interfaces/painterly_renderer.cpp,renderer/painterly_pass_graph.h,interfaces,renderer
include,interfaces/painterly_renderer.h,interfaces/painterly_renderer_interfaces.h,interfaces,interfaces
include,interfaces/painterly_renderer.h,interfaces/tile_rasterizer.h,interfaces,interfaces
include,interfaces/rasterizer_interfaces.h,renderer/tile_render_types.h,interfaces,renderer
include,interfaces/render_device_manager.cpp,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/render_device_manager.cpp,interfaces/render_device_manager.h,interfaces,interfaces
include,interfaces/render_device_manager.cpp,interfaces/sync_policy.h,interfaces,interfaces
include,interfaces/render_device_manager.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/render_device_manager.h,core/gaussian_splat_manager.h,interfaces,core
include,interfaces/render_thread_dispatcher.cpp,interfaces/render_thread_dispatcher.h,interfaces,interfaces
include,interfaces/tile_rasterizer.cpp,interfaces/tile_rasterizer.h,interfaces,interfaces
include,interfaces/tile_rasterizer.cpp,logger/gs_logger.h,interfaces,logger
include,interfaces/tile_rasterizer.cpp,renderer/gpu_sorting_config.h,interfaces,renderer
include,interfaces/tile_rasterizer.cpp,renderer/pipeline_feature_set.h,interfaces,renderer
include,interfaces/tile_rasterizer.cpp,renderer/tile_renderer.h,interfaces,renderer
include,interfaces/tile_rasterizer.h,interfaces/rasterizer_interfaces.h,interfaces,interfaces
include,interfaces/tile_rasterizer.h,interfaces/render_device_manager.h,interfaces,interfaces
include,interfaces/tile_rasterizer.h,renderer/tile_renderer.h,interfaces,renderer
include,io/gaussian_data_loader.cpp,io/gaussian_data_loader.h,io,io
include,io/gaussian_data_loader.cpp,io/ply_loader.h,io,io
include,io/gaussian_data_loader.cpp,io/spz_loader.h,io,io
include,io/gaussian_data_loader.h,core/gaussian_data.h,io,core
include,io/gaussian_import_preset.cpp,io/gaussian_import_preset.h,io,io
include,io/gaussian_splat_world_io.cpp,core/gaussian_data.h,io,core
include,io/gaussian_splat_world_io.cpp,core/gaussian_splat_world.h,io,core
include,io/gaussian_splat_world_io.cpp,interfaces/gpu_culler.h,io,interfaces
include,io/gaussian_splat_world_io.cpp,io/gaussian_splat_world_io.h,io,io
include,io/gaussian_splat_world_io.cpp,io/io_settings_utils.h,io,io
include,io/gaussian_splat_world_io.cpp,logger/gs_logger.h,io,logger
include,io/i_gaussian_loader.cpp,io/i_gaussian_loader.h,io,io
include,io/i_gaussian_loader.h,core/gaussian_splat_asset.h,io,core
include,io/ply_loader.cpp,core/gaussian_splat_world.h,io,core
include,io/ply_loader.cpp,io/io_settings_utils.h,io,io
include,io/ply_loader.cpp,io/ply_loader.h,io,io
include,io/ply_loader.cpp,logger/gs_logger.h,io,logger
include,io/ply_loader.h,core/gaussian_data.h,io,core
include,io/resource_importer_gsplatworld.cpp,core/gaussian_data.h,io,core
include,io/resource_importer_gsplatworld.cpp,io/resource_importer_gsplatworld.h,io,io
include,io/resource_importer_gsplatworld.cpp,logger/gs_logger.h,io,logger
include,io/resource_importer_ply.cpp,core/gaussian_data.h,io,core
